source,target,rank,date,time
landing_page,vg84gp_1nBo,1,29/07/2023,09:50:54
landing_page,Zb8L0YGDzQI,2,29/07/2023,09:50:58
landing_page,DZCC3XwIcx8,3,29/07/2023,09:50:58
landing_page,CrKDwSenkrQ,4,29/07/2023,09:51:00
landing_page,KYt9th0yvX4,5,29/07/2023,09:51:00
landing_page,#NAME?,6,29/07/2023,09:51:00
landing_page,0DAP5W6bYXs,7,29/07/2023,09:51:01
landing_page,Xzv84ZdtlE0,8,29/07/2023,09:51:01
landing_page,oS_dSDU4skg,9,29/07/2023,09:51:02
landing_page,13mpKPOah54,10,29/07/2023,09:51:02
landing_page,RdttrgKA6BE,11,29/07/2023,09:51:03
landing_page,PD-s-P0LjQ4,12,29/07/2023,09:51:04
landing_page,jN5Z3wJMatU,13,29/07/2023,09:51:04
landing_page,hD--j6oPR_4,14,29/07/2023,09:51:05
landing_page,g-QEjSDtOdM,15,29/07/2023,09:51:05
landing_page,sX2u0cFX3gw,16,29/07/2023,09:51:05
landing_page,fd6ftMhD6do,17,29/07/2023,09:51:06
landing_page,lAyuZXWrJ7w,18,29/07/2023,09:51:06
landing_page,#NAME?,1,28/07/2023,09:21:20
landing_page,5OaSecZbqU4,2,28/07/2023,09:21:20
landing_page,pyRrEgJ1wrU,3,28/07/2023,09:21:20
landing_page,myv7yydtCKc,4,28/07/2023,09:21:21
landing_page,ed7TTF_DkWQ,5,28/07/2023,09:21:21
landing_page,0MYacOcScG0,6,28/07/2023,09:21:22
landing_page,jN5Z3wJMatU,7,28/07/2023,09:21:22
landing_page,Eo-oFWyxdUo,8,28/07/2023,09:21:22
landing_page,OySuHF74BDk,9,28/07/2023,09:21:22
landing_page,phCEKdSKaS4,10,28/07/2023,09:21:22
landing_page,LqDCfLDVjIc,11,28/07/2023,09:21:23
landing_page,hD--j6oPR_4,12,28/07/2023,09:21:23
landing_page,aZgsVALlCrk,13,28/07/2023,09:21:23
landing_page,ciktYlmFbfc,14,28/07/2023,09:21:23
landing_page,_TedFmvfCYo,15,28/07/2023,09:21:24
landing_page,wYvJZ3Itw8A,16,28/07/2023,09:21:24
landing_page,AIkrg3g66gk,17,28/07/2023,09:21:24
landing_page,uKgaVlMN7IY,18,28/07/2023,09:21:25
search_results,b6FCV4Rxuoc,1,28/07/2023,09:21:50
search_results,9Qaae_OB5vg,2,28/07/2023,09:21:51
search_results,4rIrNhEaP4s,3,28/07/2023,09:21:51
search_results,zyx65xdl5C4,4,28/07/2023,09:21:51
search_results,FGZnhsT-OmA,5,28/07/2023,09:21:51
landing_page,oi_tOXh6uVI,1,31/07/2023,09:40:05
landing_page,drZy8yhGlQE,2,31/07/2023,09:40:07
landing_page,HyPTN1Yqtsk,3,31/07/2023,09:40:07
landing_page,13mpKPOah54,4,31/07/2023,09:40:08
landing_page,GY8fOTsJZr8,5,31/07/2023,09:40:08
landing_page,fElCn3A3G9Q,6,31/07/2023,09:40:08
landing_page,hD--j6oPR_4,7,31/07/2023,09:40:08
landing_page,kuQOQ8NemNk,8,31/07/2023,09:40:09
landing_page,WmpI0JixBJY,9,31/07/2023,09:40:09
landing_page,phCEKdSKaS4,10,31/07/2023,09:40:09
landing_page,ZcAi0szgAZY,11,31/07/2023,09:40:10
landing_page,Xzv84ZdtlE0,12,31/07/2023,09:40:10
landing_page,EV7b6t77Esk,13,31/07/2023,09:40:10
landing_page,fyZovdxNWp8,14,31/07/2023,09:40:10
landing_page,DZCC3XwIcx8,15,31/07/2023,09:40:11
landing_page,mBfaXBqq_k8,16,31/07/2023,09:40:11
landing_page,RdttrgKA6BE,17,31/07/2023,09:40:11
landing_page,UGuC6wunr-I,18,31/07/2023,09:40:11
landing_page,bj9MtssfkgM,19,31/07/2023,09:40:11
landing_page,WmpI0JixBJY,1,30/07/2023,16:37:46
landing_page,13mpKPOah54,2,30/07/2023,16:37:48
landing_page,GY8fOTsJZr8,3,30/07/2023,16:37:48
landing_page,YzRVG2TOIIc,4,30/07/2023,16:37:48
landing_page,fElCn3A3G9Q,5,30/07/2023,16:37:49
landing_page,DZCC3XwIcx8,6,30/07/2023,16:37:49
landing_page,gJ99ARVQPSc,7,30/07/2023,16:37:49
landing_page,CLr8zBXzKgE,8,30/07/2023,16:37:49
landing_page,kuQOQ8NemNk,9,30/07/2023,16:37:50
landing_page,q74s76p9lqM,10,30/07/2023,16:37:50
landing_page,72m0cK423-Q,11,30/07/2023,16:37:50
landing_page,CrKDwSenkrQ,12,30/07/2023,16:37:50
landing_page,yE0BZVVWBiE,13,30/07/2023,16:37:50
landing_page,YA5bgHU3tAA,14,30/07/2023,16:37:50
landing_page,_dpOMIkXF88,15,30/07/2023,16:37:51
landing_page,Xa4Ge7E-4ZA,16,30/07/2023,16:37:51
landing_page,g712rw3lqx4,17,30/07/2023,16:37:51
landing_page,Jb8T9X5K1AA,18,30/07/2023,16:37:51
landing_page,vg84gp_1nBo,19,30/07/2023,16:37:52
landing_page,6TEqGqUitmc,20,30/07/2023,16:37:52
landing_page,lGTKBtm4hSM,1,01/08/2023,20:34:47
landing_page,DZCC3XwIcx8,2,01/08/2023,20:34:50
landing_page,1s2Gf1szgNs,3,01/08/2023,20:34:50
landing_page,gJ99ARVQPSc,4,01/08/2023,20:34:50
landing_page,kg75znZMtd8,5,01/08/2023,20:34:50
landing_page,hoxIYdiwCe4,6,01/08/2023,20:34:51
landing_page,oi_tOXh6uVI,7,01/08/2023,20:34:51
landing_page,HWTSOL1wJrM,8,01/08/2023,20:34:51
landing_page,LV_Mtr4JmAo,9,01/08/2023,20:34:51
landing_page,i03sTpUFJ2k,10,01/08/2023,20:34:52
landing_page,drZy8yhGlQE,11,01/08/2023,20:34:52
landing_page,aZNBS3DjoBg,12,01/08/2023,20:34:52
landing_page,03nrv09T7bs,13,01/08/2023,20:34:52
landing_page,SWwQYMlQ43w,14,01/08/2023,20:34:53
landing_page,WmpI0JixBJY,15,01/08/2023,20:34:53
landing_page,YzRVG2TOIIc,16,01/08/2023,20:34:53
landing_page,Xzv84ZdtlE0,17,01/08/2023,20:34:53
landing_page,hD--j6oPR_4,18,01/08/2023,20:34:53
landing_page,mBfaXBqq_k8,19,01/08/2023,20:34:54
landing_page,#NAME?,20,01/08/2023,20:34:54
landing_page,9g_Ca8PjvSc,1,03/08/2023,12:38:36
landing_page,BMviuxR7ecU,2,03/08/2023,12:38:38
landing_page,hD--j6oPR_4,3,03/08/2023,12:38:39
landing_page,loGrK7Oj_1s,4,03/08/2023,12:38:39
landing_page,KfbZMwvv5lw,5,03/08/2023,12:38:39
landing_page,vg84gp_1nBo,6,03/08/2023,12:38:39
landing_page,fElCn3A3G9Q,7,03/08/2023,12:38:39
landing_page,gNeR6VXMlzw,8,03/08/2023,12:38:40
landing_page,SWwQYMlQ43w,9,03/08/2023,12:38:40
landing_page,Xzv84ZdtlE0,10,03/08/2023,12:38:40
landing_page,dR0ljvbZ6WM,11,03/08/2023,12:38:40
landing_page,PnuRd69ev6E,12,03/08/2023,12:38:41
landing_page,#NAME?,13,03/08/2023,12:38:41
landing_page,EHLjpoHKR9Q,14,03/08/2023,12:38:41
landing_page,KqmIsvzobt4,15,03/08/2023,12:38:42
landing_page,ujRwf1HdNjk,16,03/08/2023,12:38:42
landing_page,gbDR39yIs3Y,17,03/08/2023,12:38:42
landing_page,eC5Ij4xzvMw,18,03/08/2023,12:38:42
landing_page,ewCntFq5bqI,19,03/08/2023,12:38:43
landing_page,YzRVG2TOIIc,1,02/08/2023,12:04:24
landing_page,s5bI_732Cqs,2,02/08/2023,12:04:27
landing_page,bUs0Tvp0ZMw,3,02/08/2023,12:04:27
landing_page,CqiMxZNQOFc,4,02/08/2023,12:04:27
landing_page,13mpKPOah54,5,02/08/2023,12:04:28
landing_page,B4GRmaeO9ZQ,6,02/08/2023,12:04:28
landing_page,#NAME?,7,02/08/2023,12:04:28
landing_page,fElCn3A3G9Q,8,02/08/2023,12:04:29
landing_page,EHLjpoHKR9Q,9,02/08/2023,12:04:29
landing_page,phCEKdSKaS4,10,02/08/2023,12:04:30
landing_page,kuQOQ8NemNk,11,02/08/2023,12:04:30
landing_page,Xzv84ZdtlE0,12,02/08/2023,12:04:30
landing_page,BMviuxR7ecU,13,02/08/2023,12:04:30
landing_page,gJ99ARVQPSc,14,02/08/2023,12:04:31
landing_page,Jd_NTQlIfcA,15,02/08/2023,12:04:31
landing_page,otNh9bTjXWg,16,02/08/2023,12:04:31
landing_page,oi_tOXh6uVI,17,02/08/2023,12:04:31
landing_page,MAHxo99gDYM,18,02/08/2023,12:04:32
landing_page,u7W6-nXr9xc,1,04/08/2023,09:12:45
landing_page,CrKDwSenkrQ,2,04/08/2023,09:12:47
landing_page,i03sTpUFJ2k,3,04/08/2023,09:12:48
landing_page,Xzv84ZdtlE0,4,04/08/2023,09:12:48
landing_page,klKVm1FALhs,5,04/08/2023,09:12:48
landing_page,#NAME?,6,04/08/2023,09:12:49
landing_page,WB9lKbkMu30,7,04/08/2023,09:12:49
landing_page,HWTSOL1wJrM,8,04/08/2023,09:12:49
landing_page,Hfr9sQBohU8,9,04/08/2023,09:12:49
landing_page,PnuRd69ev6E,10,04/08/2023,09:12:49
landing_page,_TedFmvfCYo,11,04/08/2023,09:12:50
landing_page,YNqpg9uWOYQ,12,04/08/2023,09:12:50
landing_page,jYZ1LX8Bp8k,13,04/08/2023,09:12:50
landing_page,BXhuVOlnYPc,14,04/08/2023,09:12:50
landing_page,v-dq_4F9rxI,15,04/08/2023,09:12:51
landing_page,SWwQYMlQ43w,16,04/08/2023,09:12:51
landing_page,ZSSCABrgjCs,17,04/08/2023,09:12:51
landing_page,Fy59Fq-GkJg,18,04/08/2023,09:12:51
landing_page,EHLjpoHKR9Q,19,04/08/2023,09:12:52
landing_page,32slGhAH3Xc,20,04/08/2023,09:12:52